IP: 189.61.247.164 RTT: 90.272  TS: 1517867212.45 2018 02 05 19 46 52
IP: 189.61.247.164 RTT: 79.281  TS: 1517867213.53 2018 02 05 19 46 53
IP: 189.61.247.164 RTT: 81.454  TS: 1517867214.62 2018 02 05 19 46 54
IP: 189.61.247.164 RTT: 81.445  TS: 1517867215.71 2018 02 05 19 46 55
IP: 189.61.247.164 RTT: 79.566  TS: 1517867216.8 2018 02 05 19 46 56
IP: 189.61.247.164 RTT: 78.413  TS: 1517867217.88 2018 02 05 19 46 57
IP: 189.61.247.164 RTT: 79.791  TS: 1517867218.97 2018 02 05 19 46 58
IP: 189.61.247.164 RTT: 90.638  TS: 1517867220.07 2018 02 05 19 47 00
IP: 189.61.247.164 RTT: 104.513  TS: 1517867221.18 2018 02 05 19 47 01
IP: 189.61.247.164 RTT: 81.381  TS: 1517867222.27 2018 02 05 19 47 02
IP: 189.61.247.164 RTT: 138.096  TS: 1517867223.41 2018 02 05 19 47 03
IP: 189.61.247.164 RTT: 79.459  TS: 1517867224.5 2018 02 05 19 47 04
IP: 189.61.247.164 RTT: 79.566  TS: 1517867225.58 2018 02 05 19 47 05
IP: 189.61.247.164 RTT: 79.655  TS: 1517867226.67 2018 02 05 19 47 06
IP: 189.61.247.164 RTT: 79.540  TS: 1517867227.75 2018 02 05 19 47 07
IP: 189.61.247.164 RTT: 83.091  TS: 1517867228.84 2018 02 05 19 47 08
IP: 189.61.247.164 RTT: 81.930  TS: 1517867229.93 2018 02 05 19 47 09
IP: 189.61.247.164 RTT: 79.954  TS: 1517867231.02 2018 02 05 19 47 11
IP: 189.61.247.164 RTT: 80.319  TS: 1517867232.11 2018 02 05 19 47 12
IP: 189.61.247.164 RTT: 78.534  TS: 1517867233.19 2018 02 05 19 47 13
IP: 189.61.247.164 RTT: 78.836  TS: 1517867234.28 2018 02 05 19 47 14
IP: 189.61.247.164 RTT: 78.987  TS: 1517867235.36 2018 02 05 19 47 15
IP: 189.61.247.164 RTT: 81.245  TS: 1517867236.45 2018 02 05 19 47 16
IP: 189.61.247.164 RTT: 79.249  TS: 1517867237.54 2018 02 05 19 47 17
IP: 189.61.247.164 RTT: 79.602  TS: 1517867238.63 2018 02 05 19 47 18
IP: 189.61.247.164 RTT: 78.985  TS: 1517867239.71 2018 02 05 19 47 19
IP: 189.61.247.164 RTT: 79.455  TS: 1517867240.8 2018 02 05 19 47 20
IP: 189.61.247.164 RTT: 78.600  TS: 1517867241.88 2018 02 05 19 47 21
IP: 189.61.247.164 RTT: 78.848  TS: 1517867242.97 2018 02 05 19 47 22
IP: 189.61.247.164 RTT: 81.917  TS: 1517867244.06 2018 02 05 19 47 24
IP: 189.61.247.164 RTT: 78.998  TS: 1517867245.14 2018 02 05 19 47 25
IP: 189.61.247.164 RTT: 79.828  TS: 1517867246.23 2018 02 05 19 47 26
IP: 189.61.247.164 RTT: 79.966  TS: 1517867247.32 2018 02 05 19 47 27
IP: 189.61.247.164 RTT: 82.761  TS: 1517867248.41 2018 02 05 19 47 28
IP: 189.61.247.164 RTT: 80.889  TS: 1517867249.5 2018 02 05 19 47 29
IP: 189.61.247.164 RTT: 80.118  TS: 1517867250.58 2018 02 05 19 47 30
IP: 189.61.247.164 RTT: 79.585  TS: 1517867251.67 2018 02 05 19 47 31
IP: 189.61.247.164 RTT: 82.576  TS: 1517867252.76 2018 02 05 19 47 32
IP: 189.61.247.164 RTT: 80.262  TS: 1517867253.85 2018 02 05 19 47 33
IP: 189.61.247.164 RTT: 79.978  TS: 1517867254.94 2018 02 05 19 47 34
IP: 189.61.247.164 RTT: 80.174  TS: 1517867256.02 2018 02 05 19 47 36
IP: 189.61.247.164 RTT: 81.254  TS: 1517867257.11 2018 02 05 19 47 37
IP: 189.61.247.164 RTT: 78.916  TS: 1517867258.2 2018 02 05 19 47 38
IP: 189.61.247.164 RTT: 81.155  TS: 1517867259.29 2018 02 05 19 47 39
IP: 189.61.247.164 RTT: 79.945  TS: 1517867260.37 2018 02 05 19 47 40
IP: 189.61.247.164 RTT: 80.064  TS: 1517867261.46 2018 02 05 19 47 41
IP: 189.61.247.164 RTT: 81.632  TS: 1517867262.55 2018 02 05 19 47 42
IP: 189.61.247.164 RTT: 80.720  TS: 1517867263.64 2018 02 05 19 47 43
IP: 189.61.247.164 RTT: 81.517  TS: 1517867264.73 2018 02 05 19 47 44
IP: 189.61.247.164 RTT: 79.121  TS: 1517867265.81 2018 02 05 19 47 45
IP: 189.61.247.164 RTT: 80.344  TS: 1517867266.9 2018 02 05 19 47 46
IP: 189.61.247.164 RTT: 78.683  TS: 1517867267.99 2018 02 05 19 47 47
IP: 189.61.247.164 RTT: 79.854  TS: 1517867269.07 2018 02 05 19 47 49
IP: 189.61.247.164 RTT: 82.773  TS: 1517867270.16 2018 02 05 19 47 50
IP: 189.61.247.164 RTT: 81.861  TS: 1517867271.25 2018 02 05 19 47 51
IP: 189.61.247.164 RTT: 80.431  TS: 1517867272.34 2018 02 05 19 47 52
IP: 189.61.247.164 RTT: 142.953  TS: 1517867273.49 2018 02 05 19 47 53
IP: 189.61.247.164 RTT: 80.150  TS: 1517867274.58 2018 02 05 19 47 54
IP: 189.61.247.164 RTT: 80.808  TS: 1517867275.66 2018 02 05 19 47 55
IP: 189.61.247.164 RTT: 80.056  TS: 1517867276.75 2018 02 05 19 47 56
IP: 189.61.247.164 RTT: 81.809  TS: 1517867277.84 2018 02 05 19 47 57
IP: 189.61.247.164 RTT: 230.172  TS: 1517867279.08 2018 02 05 19 47 59
IP: 189.61.247.164 RTT: 192.784  TS: 1517867280.28 2018 02 05 19 48 00
IP: 189.61.247.164 RTT: 80.820  TS: 1517867281.36 2018 02 05 19 48 01
IP: 189.61.247.164 RTT: 80.168  TS: 1517867282.45 2018 02 05 19 48 02
IP: 189.61.247.164 RTT: 97.936  TS: 1517867283.56 2018 02 05 19 48 03
IP: 189.61.247.164 RTT: 80.738  TS: 1517867284.64 2018 02 05 19 48 04
IP: 189.61.247.164 RTT: 80.098  TS: 1517867285.73 2018 02 05 19 48 05
IP: 189.61.247.164 RTT: 78.251  TS: 1517867286.81 2018 02 05 19 48 06
IP: 189.61.247.164 RTT: 80.715  TS: 1517867287.9 2018 02 05 19 48 07
IP: 189.61.247.164 RTT: 79.197  TS: 1517867288.99 2018 02 05 19 48 08
IP: 189.61.247.164 RTT: 79.897  TS: 1517867290.08 2018 02 05 19 48 10
IP: 189.61.247.164 RTT: 80.694  TS: 1517867291.16 2018 02 05 19 48 11
IP: 189.61.247.164 RTT: 78.863  TS: 1517867292.25 2018 02 05 19 48 12
IP: 189.61.247.164 RTT: 91.068  TS: 1517867293.34 2018 02 05 19 48 13
IP: 189.61.247.164 RTT: 79.545  TS: 1517867294.43 2018 02 05 19 48 14
IP: 189.61.247.164 RTT: 79.736  TS: 1517867295.52 2018 02 05 19 48 15
IP: 189.61.247.164 RTT: 79.071  TS: 1517867296.6 2018 02 05 19 48 16
IP: 189.61.247.164 RTT: 79.959  TS: 1517867297.69 2018 02 05 19 48 17
IP: 189.61.247.164 RTT: 80.821  TS: 1517867298.78 2018 02 05 19 48 18
IP: 189.61.247.164 RTT: 79.662  TS: 1517867299.86 2018 02 05 19 48 19
IP: 189.61.247.164 RTT: 81.033  TS: 1517867300.95 2018 02 05 19 48 20
IP: 189.61.247.164 RTT: 80.614  TS: 1517867302.04 2018 02 05 19 48 22
IP: 189.61.247.164 RTT: 79.312  TS: 1517867303.12 2018 02 05 19 48 23
IP: 189.61.247.164 RTT: 81.886  TS: 1517867304.21 2018 02 05 19 48 24
IP: 189.61.247.164 RTT: 80.042  TS: 1517867305.29 2018 02 05 19 48 25
IP: 189.61.247.164 RTT: 79.528  TS: 1517867306.38 2018 02 05 19 48 26
IP: 189.61.247.164 RTT: 79.038  TS: 1517867307.47 2018 02 05 19 48 27
IP: 189.61.247.164 RTT: 85.277  TS: 1517867308.55 2018 02 05 19 48 28
IP: 189.61.247.164 RTT: 84.280  TS: 1517867309.64 2018 02 05 19 48 29
IP: 189.61.247.164 RTT: 80.312  TS: 1517867310.73 2018 02 05 19 48 30
IP: 189.61.247.164 RTT: 79.345  TS: 1517867311.81 2018 02 05 19 48 31
IP: 189.61.247.164 RTT: 80.026  TS: 1517867312.9 2018 02 05 19 48 32
IP: 189.61.247.164 RTT: 79.682  TS: 1517867313.99 2018 02 05 19 48 33
IP: 189.61.247.164 RTT: 80.681  TS: 1517867315.07 2018 02 05 19 48 35
IP: 189.61.247.164 RTT: 86.340  TS: 1517867316.17 2018 02 05 19 48 36
IP: 189.61.247.164 RTT: 79.414  TS: 1517867317.25 2018 02 05 19 48 37
IP: 189.61.247.164 RTT: 79.394  TS: 1517867318.34 2018 02 05 19 48 38
IP: 189.61.247.164 RTT: 80.469  TS: 1517867319.42 2018 02 05 19 48 39
IP: 189.61.247.164 RTT: 83.949  TS: 1517867320.51 2018 02 05 19 48 40
IP: 189.61.247.164 RTT: 80.317  TS: 1517867321.6 2018 02 05 19 48 41
IP: 189.61.247.164 RTT: 80.355  TS: 1517867322.69 2018 02 05 19 48 42
IP: 189.61.247.164 RTT: 79.577  TS: 1517867323.77 2018 02 05 19 48 43
IP: 189.61.247.164 RTT: 79.816  TS: 1517867324.86 2018 02 05 19 48 44
IP: 189.61.247.164 RTT: 81.491  TS: 1517867325.95 2018 02 05 19 48 45
IP: 189.61.247.164 RTT: 81.247  TS: 1517867327.04 2018 02 05 19 48 47
IP: 189.61.247.164 RTT: 78.905  TS: 1517867328.13 2018 02 05 19 48 48
