IP: 189.61.247.164 RTT: 80.982  TS: 1517867477.54 2018 02 05 19 51 17
IP: 189.61.247.164 RTT: 80.150  TS: 1517867478.62 2018 02 05 19 51 18
IP: 189.61.247.164 RTT: 79.572  TS: 1517867479.71 2018 02 05 19 51 19
IP: 189.61.247.164 RTT: 79.139  TS: 1517867480.8 2018 02 05 19 51 20
IP: 189.61.247.164 RTT: 78.909  TS: 1517867481.88 2018 02 05 19 51 21
IP: 189.61.247.164 RTT: 79.462  TS: 1517867482.97 2018 02 05 19 51 22
IP: 189.61.247.164 RTT: 80.424  TS: 1517867484.05 2018 02 05 19 51 24
IP: 189.61.247.164 RTT: 82.285  TS: 1517867485.14 2018 02 05 19 51 25
IP: 189.61.247.164 RTT: 82.884  TS: 1517867486.23 2018 02 05 19 51 26
IP: 189.61.247.164 RTT: 81.637  TS: 1517867487.32 2018 02 05 19 51 27
IP: 189.61.247.164 RTT: 81.708  TS: 1517867488.41 2018 02 05 19 51 28
IP: 189.61.247.164 RTT: 79.614  TS: 1517867489.5 2018 02 05 19 51 29
IP: 189.61.247.164 RTT: 80.248  TS: 1517867490.59 2018 02 05 19 51 30
IP: 189.61.247.164 RTT: 81.609  TS: 1517867491.67 2018 02 05 19 51 31
IP: 189.61.247.164 RTT: 83.183  TS: 1517867492.76 2018 02 05 19 51 32
IP: 189.61.247.164 RTT: 82.613  TS: 1517867493.85 2018 02 05 19 51 33
IP: 189.61.247.164 RTT: 81.655  TS: 1517867494.94 2018 02 05 19 51 34
IP: 189.61.247.164 RTT: 78.951  TS: 1517867496.03 2018 02 05 19 51 36
IP: 189.61.247.164 RTT: 80.511  TS: 1517867497.12 2018 02 05 19 51 37
IP: 189.61.247.164 RTT: 82.095  TS: 1517867498.21 2018 02 05 19 51 38
IP: 189.61.247.164 RTT: 79.306  TS: 1517867499.3 2018 02 05 19 51 39
IP: 189.61.247.164 RTT: 92.169  TS: 1517867500.39 2018 02 05 19 51 40
IP: 189.61.247.164 RTT: 79.759  TS: 1517867501.48 2018 02 05 19 51 41
IP: 189.61.247.164 RTT: 78.885  TS: 1517867502.57 2018 02 05 19 51 42
IP: 189.61.247.164 RTT: 79.380  TS: 1517867503.65 2018 02 05 19 51 43
IP: 189.61.247.164 RTT: 79.676  TS: 1517867504.74 2018 02 05 19 51 44
IP: 189.61.247.164 RTT: 81.529  TS: 1517867505.83 2018 02 05 19 51 45
IP: 189.61.247.164 RTT: 79.549  TS: 1517867506.91 2018 02 05 19 51 46
IP: 189.61.247.164 RTT: 81.360  TS: 1517867508.0 2018 02 05 19 51 48
IP: 189.61.247.164 RTT: 80.059  TS: 1517867509.09 2018 02 05 19 51 49
IP: 189.61.247.164 RTT: 80.460  TS: 1517867510.18 2018 02 05 19 51 50
IP: 189.61.247.164 RTT: 81.077  TS: 1517867511.27 2018 02 05 19 51 51
IP: 189.61.247.164 RTT: 81.244  TS: 1517867512.35 2018 02 05 19 51 52
IP: 189.61.247.164 RTT: 80.023  TS: 1517867513.44 2018 02 05 19 51 53
IP: 189.61.247.164 RTT: 80.454  TS: 1517867514.53 2018 02 05 19 51 54
IP: 189.61.247.164 RTT: 80.876  TS: 1517867515.62 2018 02 05 19 51 55
IP: 189.61.247.164 RTT: 81.232  TS: 1517867516.71 2018 02 05 19 51 56
IP: 189.61.247.164 RTT: 80.680  TS: 1517867517.79 2018 02 05 19 51 57
IP: 189.61.247.164 RTT: 192.617  TS: 1517867518.99 2018 02 05 19 51 58
IP: 189.61.247.164 RTT: 242.398  TS: 1517867520.24 2018 02 05 19 52 00
IP: 189.61.247.164 RTT: 81.128  TS: 1517867521.33 2018 02 05 19 52 01
IP: 189.61.247.164 RTT: 90.455  TS: 1517867522.43 2018 02 05 19 52 02
IP: 189.61.247.164 RTT: 81.990  TS: 1517867523.52 2018 02 05 19 52 03
IP: 189.61.247.164 RTT: 82.529  TS: 1517867524.6 2018 02 05 19 52 04
IP: 189.61.247.164 RTT: 82.623  TS: 1517867525.69 2018 02 05 19 52 05
IP: 189.61.247.164 RTT: 80.068  TS: 1517867526.78 2018 02 05 19 52 06
IP: 189.61.247.164 RTT: 80.247  TS: 1517867527.86 2018 02 05 19 52 07
IP: 189.61.247.164 RTT: 81.254  TS: 1517867528.96 2018 02 05 19 52 08
IP: 189.61.247.164 RTT: 80.307  TS: 1517867530.04 2018 02 05 19 52 10
IP: 189.61.247.164 RTT: 80.300  TS: 1517867531.13 2018 02 05 19 52 11
IP: 189.61.247.164 RTT: 81.729  TS: 1517867532.22 2018 02 05 19 52 12
IP: 189.61.247.164 RTT: 81.846  TS: 1517867533.31 2018 02 05 19 52 13
IP: 189.61.247.164 RTT: 80.087  TS: 1517867534.39 2018 02 05 19 52 14
IP: 189.61.247.164 RTT: 82.304  TS: 1517867535.49 2018 02 05 19 52 15
IP: 189.61.247.164 RTT: 80.458  TS: 1517867536.57 2018 02 05 19 52 16
IP: 189.61.247.164 RTT: 110.912  TS: 1517867537.69 2018 02 05 19 52 17
