2.4 0.0
2.4 0.0
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.4 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.41 2.52
2.43 2.52
2.43 2.52
2.43 2.48
2.43 2.48
2.4 2.48
2.4 2.48
2.4 2.36
2.4 2.36
2.35 2.36
2.35 2.36
2.35 2.01
2.35 2.01
2.18 2.01
2.18 2.01
2.18 1.73
2.18 1.73
2.01 1.73
2.01 1.73
2.01 1.62
2.01 1.62
1.99 1.62
1.99 1.62
1.99 1.62
1.99 1.62
2.06 1.62
2.06 1.62
2.06 1.59
2.06 1.59
