IP: 177.191.197.215 RTT: 126.720  TS: 1519179944.92 2018 02 20 23 25 44
IP: 177.191.197.215 RTT: 125.835  TS: 1519179946.06 2018 02 20 23 25 46
IP: 177.191.197.215 RTT: 126.423  TS: 1519179947.19 2018 02 20 23 25 47
IP: 177.191.197.215 RTT: 131.072  TS: 1519179948.33 2018 02 20 23 25 48
IP: 177.191.197.215 RTT: 154.800  TS: 1519179949.5 2018 02 20 23 25 49
IP: 177.191.197.215 RTT: 132.987  TS: 1519179950.64 2018 02 20 23 25 50
IP: 177.191.197.215 RTT: 131.368  TS: 1519179951.79 2018 02 20 23 25 51
IP: 177.191.197.215 RTT: 124.065  TS: 1519179952.92 2018 02 20 23 25 52
IP: 177.191.197.215 RTT: 124.637  TS: 1519179954.06 2018 02 20 23 25 54
IP: 177.191.197.215 RTT: 123.424  TS: 1519179955.19 2018 02 20 23 25 55
IP: 177.191.197.215 RTT: 130.719  TS: 1519179956.33 2018 02 20 23 25 56
IP: 177.191.197.215 RTT: 132.767  TS: 1519179957.47 2018 02 20 23 25 57
IP: 177.191.197.215 RTT: 135.781  TS: 1519179958.61 2018 02 20 23 25 58
IP: 177.191.197.215 RTT: 133.693  TS: 1519179959.75 2018 02 20 23 25 59
IP: 177.191.197.215 RTT: 128.031  TS: 1519179960.89 2018 02 20 23 26 00
IP: 177.191.197.215 RTT: 130.090  TS: 1519179962.03 2018 02 20 23 26 02
IP: 177.191.197.215 RTT: 131.719  TS: 1519179963.17 2018 02 20 23 26 03
IP: 177.191.197.215 RTT: 128.990  TS: 1519179964.3 2018 02 20 23 26 04
IP: 177.191.197.215 RTT: 128.674  TS: 1519179965.44 2018 02 20 23 26 05
IP: 177.191.197.215 RTT: 125.137  TS: 1519179966.57 2018 02 20 23 26 06
IP: 177.191.197.215 RTT: 155.084  TS: 1519179967.75 2018 02 20 23 26 07
IP: 177.191.197.215 RTT: 130.358  TS: 1519179968.89 2018 02 20 23 26 08
IP: 177.191.197.215 RTT: 133.219  TS: 1519179970.03 2018 02 20 23 26 10
IP: 177.191.197.215 RTT: 130.034  TS: 1519179971.18 2018 02 20 23 26 11
IP: 177.191.197.215 RTT: 128.609  TS: 1519179972.32 2018 02 20 23 26 12
IP: 177.191.197.215 RTT: 127.974  TS: 1519179973.46 2018 02 20 23 26 13
IP: 177.191.197.215 RTT: 124.554  TS: 1519179974.59 2018 02 20 23 26 14
IP: 177.191.197.215 RTT: 124.856  TS: 1519179975.73 2018 02 20 23 26 15
IP: 177.191.197.215 RTT: 151.154  TS: 1519179976.88 2018 02 20 23 26 16
IP: 177.191.197.215 RTT: 124.739  TS: 1519179978.01 2018 02 20 23 26 18
IP: 177.191.197.215 RTT: 124.819  TS: 1519179979.15 2018 02 20 23 26 19
IP: 177.191.197.215 RTT: 126.121  TS: 1519179980.28 2018 02 20 23 26 20
IP: 177.191.197.215 RTT: 129.791  TS: 1519179981.41 2018 02 20 23 26 21
IP: 177.191.197.215 RTT: 130.666  TS: 1519179982.56 2018 02 20 23 26 22
IP: 177.191.197.215 RTT: 125.851  TS: 1519179983.69 2018 02 20 23 26 23
IP: 177.191.197.215 RTT: 126.068  TS: 1519179984.82 2018 02 20 23 26 24
IP: 177.191.197.215 RTT: 129.464  TS: 1519179985.96 2018 02 20 23 26 25
IP: 177.191.197.215 RTT: 132.172  TS: 1519179987.1 2018 02 20 23 26 27
IP: 177.191.197.215 RTT: 127.236  TS: 1519179988.24 2018 02 20 23 26 28
IP: 177.191.197.215 RTT: 133.033  TS: 1519179989.38 2018 02 20 23 26 29
IP: 177.191.197.215 RTT: 127.740  TS: 1519179990.52 2018 02 20 23 26 30
IP: 177.191.197.215 RTT: 141.608  TS: 1519179991.67 2018 02 20 23 26 31
IP: 177.191.197.215 RTT: 131.177  TS: 1519179992.81 2018 02 20 23 26 32
IP: 177.191.197.215 RTT: 126.626  TS: 1519179993.94 2018 02 20 23 26 33
IP: 177.191.197.215 RTT: 125.147  TS: 1519179995.08 2018 02 20 23 26 35
IP: 177.191.197.215 RTT: 128.914  TS: 1519179996.22 2018 02 20 23 26 36
IP: 177.191.197.215 RTT: 131.623  TS: 1519179997.36 2018 02 20 23 26 37
IP: 177.191.197.215 RTT: 136.717  TS: 1519179998.51 2018 02 20 23 26 38
IP: 177.191.197.215 RTT: 145.150  TS: 1519179999.66 2018 02 20 23 26 39
IP: 177.191.197.215 RTT: 142.071  TS: 1519180000.81 2018 02 20 23 26 40
IP: 177.191.197.215 RTT: 130.023  TS: 1519180001.95 2018 02 20 23 26 41
IP: 177.191.197.215 RTT: 133.951  TS: 1519180003.09 2018 02 20 23 26 43
IP: 177.191.197.215 RTT: 128.370  TS: 1519180004.23 2018 02 20 23 26 44
IP: 177.191.197.215 RTT: 132.521  TS: 1519180005.37 2018 02 20 23 26 45
IP: 177.191.197.215 RTT: 132.929  TS: 1519180006.51 2018 02 20 23 26 46
